"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,prep_r_survey,,text,"Record ID",,,,,,,,,,,,,
intro,prep_r_survey,,descriptive,"<em><strong><div style=""font-size: 14pt"">PART I.  <strong></em></div>

Thank you for agreeing to help us. For the questions we are about to ask you, please give us your honest answers.  There are no particular answers we are looking for.  We are interested in your actual opinions and experiences. At times, we will ask some personal questions.  Remember that your answers are completely confidential.  No one you know will ever see them and your name will never be linked to this project.  If you feel uncomfortable answering any question, feel free to skip it.  We want to know your opinions and experiences, but we also want you to be comfortable telling us. Your participation in this survey is voluntary. If you change your mind and decide you do not want to take part in this, you do not have to.",,,,,,,,,,,,,
age,prep_r_survey,,text,"How old are you?",,"[Enter Number]",integer,15,99,y,,,,1,,,
dob,prep_r_survey,,text,"When is your birthday?",,"[Enter DOB]",date_mdy,,,y,,,RH,2,,,
hispanic,prep_r_survey,,yesno,"Do you consider yourself Hispanic or Latino?",,,,,,,,,,3,,,
race,prep_r_survey,,radio,"Which best describes your race or ethnicity?","1, Black/African American | 2, White | 3, Asian American / Pacific Islander | 4, Native America | 6, Other, specify | -99, Refused | -98, Don't Know",,,,,,,,,4,,,
race_othspec,prep_r_survey,,text,"Please specify:",,,,,,,"[race] = '6'",,,4a,,,
relstat,prep_r_survey,,radio,"What is your current relationship status?","1, Single, never married | 2, Dating (involved with individual[s] but not in an exclusive, committed, or monogamous relationship) | 3, In a serious relationship (mutually monogamous) | 4, In a serious relationship (non-monogamous) | 5, Cohabitating with a partner | 6, Married | 7, Separated | 8, Divorced | 9, Widowed | -99, Refused | -98, Don't Know",,,,,,,,,5,,,
hischool,prep_r_survey,,radio,"What is your highest level of schooling or highest degree, certificate or license?","1, Grade 0-12, specify | 2, High School Degree or GED | 3, Post-high school technical or vocational certificate or license | 4, Some college (no degree) | 5, Associate's degree (2-yr college degree, AA, or AS) | 6, Bachelor's degree (4-yr college degree, BA or BS) | 7, Master's degree | 8, Doctoral or graduate professional degre (MD, Law) | -99, Refused | -98, Don't know",,,,,,,,,6,,,
higrade,prep_r_survey,,text,Specify:,,,integer,0,992,,"[hischool] = '1'",,RH,6a,,,
hsdegree,prep_r_survey,,radio,"Do you have a high school degree (or GED)?","1, Yes | 0, No | -99, Refused",,,,,,"[hischool] = '3' or [hischool] = '4' or [higrade] = '12'",,,6b,,,
zipcode,prep_r_survey,,text,"What is your zipcode?",,,zipcode,,,y,,,RH,7,,,
intersection_ew,prep_r_survey,,text,"Or, if you don't know your zipcode, a major intersection near where you live? 

East-West Street:",,,,,,y,"[zipcode] = ''",,RH,7a,,,
intersection_ns,prep_r_survey,,text,"Or, if you don't know your zipcode, a major intersection where you live?

North-South Street:",,,,,,y,"[zipcode] = ''",,RH,7b,,,
empstatus,prep_r_survey,,radio,"Are you currently working full time, part time or not employed?","1, Working full time | 2, Working part time | 3, Not employed | -99, Refused | -98, Don't Know",,,,,,,,,8,,,
disability,prep_r_survey,,radio,"Are you currently on disability?","1, Yes | 0, No | -99, Refused | -98, Don't know",,,,,,"[empstatus] = '2' or [empstatus] = '3'",,,8a,,,
emploss,prep_r_survey,"In the past six months, have you:",radio,"Experienced loss of employment (e.g. fired, quit, laid off, etc.)?","1, Yes | 0, No | -99, Refused | -98, Don't Know",,,,,,,,,9,pastsixmo,,
missedmeals,prep_r_survey,,radio,"Missed meals because you did not have enough money to eat?","1, Yes | 0, No | -99, Refused | -98, Don't Know",,,,,,,,,10,pastsixmo,,
moneyprob,prep_r_survey,,radio,"Had a major worsening of your financial status or major chronic financial problems?","1, Yes | 0, No | -99, Refused | -98, Don't Know",,,,,,,,,11,pastsixmo,,
reschange,prep_r_survey,,radio,"Changed your residence two or more times?","1, Yes | 0, No | -99, Refused | -98, Don't Know",,,,,,,,,12,pastsixmo,,
healthins,prep_r_survey,,yesno,"Do you currently have health insurance",,,,,,,,,,13,,,
healthinstype,prep_r_survey,,radio,"What kind of health insurance do you have?","1, A private health plan (through an employer, union, or purchased directly) | 2, Medicaid or Medical Assistance program or County Care (for people with low incomes) | 3, Medicare (for the elderly and people with disabilities) | 4, Military (TriCare) or VA coverage | 5, Some other health care plan | -99, Refused | -98, Don't Know",,,,,,"[healthins] = '1'",,,14,,,
spendnights,prep_r_survey,,radio,"Where have you spent your most nights in the last month (30 days)?","1, Your own house or apartment | 2, A family member's house or apartment | 3, A romantic partner's house or apartment | 4, A friend's (non-relative) house or apartment | 5, A single resident occupancy (SRO) | 6, A shelter | 7, A group home | 8, A treatment center | 9, In a jail, prison, or detention center | 10, On the street, in a car, or outside | 11, Other (please specify) | -99, Refused | -98, Don't Know",,,,,,,,,15,,,
spendnights_othspec,prep_r_survey,,text,"Please describe your current living situation:",,,,,,,"[spendnights] = '11'",,RH,15a,,,
gender_birth,prep_r_survey,"The next questions are about your gender identity and sexual orientation.",radio,"What sex were you assigned at birth, meaning on your original birth certificate? Was that male, female, or intersex?","1, Male | 2, Female | 3, Intersex | -99, Refused | -98, Don't Know",,,,,,,,,16,,,
genderid,prep_r_survey,,radio,"What best describes your gender identity now?","1, Man | 2, Woman | 3, Transgender man / transman | 4, Transgender woman / transwoman | 5, Genderqueer / Gender non-conforming / gender creative / gender variant | 6, Other (please specify) | -99, Refused | -98, Don't Know",,,,,,,,,17,,,
genderid_othspec,prep_r_survey,,text,"Please describe your gender identity:",,,,,,,"[genderid] = '6'",,RH,17a,,,
sexorient,prep_r_survey,,radio,"What best describes your sexual orientation?","1, Gay/ Same gender loving / Queer | 2, Bisexual | 3, Heterosexual/ Straight | 4, Pansexual | 5, Asexual | 6, Other (please specify) | -99, Refused | -98, Don't Know",,,,,,,,,18,,,
sexorient_othspec,prep_r_survey,,text,"Please describe your sexual orientation:",,,,,,,"[sexorient] = '6'",,RH,18a,,,
sexcont_women,prep_r_survey,"In the past two years, with whom have you had sexual contact?",radio,Women,"1, Yes | 0, No | -99, Refused | -98, Don't know",,,,,,,,,19,sexcont,,
sexcont_transwom,prep_r_survey,,radio,"Transgender women","1, Yes | 0, No | -99, Refused | -98, Don't know",,,,,,,,,20,sexcont,,
sexcont_men,prep_r_survey,,radio,Men,"1, Yes | 0, No | -99, Refused | -98, Don't know",,,,,,,,,21,sexcont,,
sexcont_transmen,prep_r_survey,,radio,"Transgender men","1, Yes | 0, No | -99, Refused | -98, Don't know",,,,,,,,,22,sexcont,,
partii_sociogram,prep_r_survey,"<em><strong><div style=""font-size: 14pt"">PART II. SOCIOGRAM</em><strong></div>
",descriptive,"The purpose of the next part of the survey is to learn a little bit about of the people you share personal information with and who you can count on in a time of need. When we say personal informatino, we mean private things about yourself that you might not tell everyone. This information helps us to learn more about the types of social support you have in your life. If you are randomized to the PrEP-R intervention, we'll also use this list to help you select a person to participate in the project with you. To start, let's make a list of their names.  You can give me names, nicknames, initials or however you want to identify people. Again, these are the people in your life that you share personal information with and who you can count on in a time of need. So let's start with the first person.",,,,,,,,,,,,,
soc_name1,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,1,,,
soc_name2,prep_r_survey,,text,Name:,,"nicknames or initials okay",alpha_only,,,y,,,RH,2,,,
soc_name3,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,3,,,
soc_name4,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,4,,,
soc_name5,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,5,,,
soc_name6,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,6,,,
soc_name7,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,7,,,
